Name,UIN,Status,Job Title,Department,Hire Year,Permissions,Permission last accessed,Last Recertification Date,Previous role,Access Risk level,Can be automatically recertified,Needs human review,Recertification Frequency 
Alex Johnson,175251645,Staff,HR Coordinator,Library,2019,Employee Records Access,03/30/2025 15:40:31,09/19/24 0:00:00,,0.9,yes,yes,Anually
Morgan Lee,178933583,Faculty,Assistant Professor,Chemistry,2020,Blackboard,04/04/2025 15:40:31,01/02/25 0:00:00,Professor,0.6,yes,no,Anually
Morgan Lee,178933583,Faculty,Assistant Professor,Chemistry,2020,Gradescope,04/09/2025 15:40:31,12/25/24 0:00:00,,0.37,yes,yes,Anually
Morgan Lee,178933583,Faculty,Assistant Professor,Chemistry,2020,ChemResearch Archive,04/10/2025 15:40:31,01/09/25 0:00:00,,0.16,no,no,Anually
Cameron Martinez,132596708,Undergraduate Student,Lab Assistant,Finance,2021,Building Access,04/20/2025 15:40:31,12/26/24 0:00:00,Library Assistant,0.94,no,yes,Anually
Cameron Martinez,132596708,Undergraduate Student,Lab Assistant,Finance,2021,Lab Equipment Reservation,03/31/2025 15:40:31,07/31/24 0:00:00,,0.03,yes,yes,Bianually
Taylor Smith,113087870,Graduate Student,Teaching Assistant,Mathematics,2020,Gradescope,04/20/2025 15:40:31,07/14/24 0:00:00,,0.63,yes,yes,Bianually
Taylor Smith,113087870,Graduate Student,Teaching Assistant,Mathematics,2020,Course Management System,04/07/2025 15:40:31,08/10/24 0:00:00,,0.71,yes,no,Anually
Taylor Lee,172963670,Staff,Financial Aid Officer,Finance,2020,Financial Aid System,03/24/2025 15:40:31,07/13/24 0:00:00,IT Support,0.31,yes,no,Anually
Taylor Lee,172963670,Staff,Financial Aid Officer,Finance,2020,Student Financial Records,04/19/2025 15:40:31,12/28/24 0:00:00,,0.22,no,yes,Bianually
Jamie Martinez,108712591,Faculty,Associate Professor,Library,2019,Blackboard,04/11/2025 15:40:31,10/17/24 0:00:00,,0.56,yes,yes,Bianually
Jamie Martinez,108712591,Faculty,Associate Professor,Library,2019,Gradescope,04/10/2025 15:40:31,11/11/24 0:00:00,,0.32,yes,no,Anually
Jamie Martinez,108712591,Faculty,Associate Professor,Library,2019,Library Research Vault,04/02/2025 15:40:31,07/22/24 0:00:00,Associate Professor,0.46,no,no,Anually
Morgan Garcia,166808119,Undergraduate Student,Peer Tutor,Biology,2023,Gradescope,04/02/2025 15:40:31,08/21/24 0:00:00,,0.17,no,no,Bianually
Morgan Garcia,166808119,Undergraduate Student,Peer Tutor,Biology,2023,Blackboard,04/03/2025 15:40:31,01/01/25 0:00:00,,0.65,no,yes,Anually
Casey Martinez,191413563,Staff,Building Manager,Computer Science,2020,Building Access,03/29/2025 15:40:31,12/29/24 0:00:00,,0.33,yes,yes,Bianually
Casey Martinez,191413563,Staff,Building Manager,Computer Science,2020,Maintenance System,03/27/2025 15:40:31,10/23/24 0:00:00,IT Support,0.72,no,no,Anually
Cameron Garcia,198620444,Graduate Student,Research Assistant,Human Resources,2018,HR Research Repository,03/26/2025 15:40:31,01/07/25 0:00:00,Research Assistant,0.83,no,yes,Bianually
Cameron Garcia,198620444,Graduate Student,Research Assistant,Human Resources,2018,GSuite,03/31/2025 15:40:31,12/16/24 0:00:00,,0.65,no,yes,Anually
Jamie Lee,183725259,Undergraduate Student,Peer Tutor,Library,2020,Gradescope,04/04/2025 15:40:31,11/29/24 0:00:00,,0.67,no,yes,Anually
Jamie Lee,183725259,Undergraduate Student,Peer Tutor,Library,2020,Blackboard,04/20/2025 15:40:31,10/03/24 0:00:00,,0.88,no,no,Bianually
Taylor Lee,150227505,Faculty,Assistant Professor,Biology,2022,Blackboard,03/22/2025 15:40:31,08/20/24 0:00:00,,0.8,no,yes,Bianually
Taylor Lee,150227505,Faculty,Assistant Professor,Biology,2022,Gradescope,04/18/2025 15:40:31,09/17/24 0:00:00,,0.28,no,no,Anually
Taylor Lee,150227505,Faculty,Assistant Professor,Biology,2022,BioData Central,04/18/2025 15:40:31,01/05/25 0:00:00,,0.25,no,yes,Anually
Alex Garcia,105318287,Undergraduate Student,Lab Assistant,Library,2020,Building Access,04/05/2025 15:40:31,11/22/24 0:00:00,Peer Tutor,0.49,no,yes,Bianually
Alex Garcia,105318287,Undergraduate Student,Lab Assistant,Library,2020,Lab Equipment Reservation,04/08/2025 15:40:31,07/18/24 0:00:00,,0.26,yes,yes,Bianually
Taylor Lee,114535159,Undergraduate Student,Library Assistant,Chemistry,2019,Library System Access,04/17/2025 15:40:31,01/01/25 0:00:00,,0.23,no,yes,Anually
Taylor Lee,114535159,Undergraduate Student,Library Assistant,Chemistry,2019,GSuite,04/15/2025 15:40:31,12/20/24 0:00:00,Library Assistant,0.13,yes,no,Bianually
Taylor Lee,160511125,Staff,Financial Aid Officer,Engineering,2021,Financial Aid System,04/09/2025 15:40:31,11/08/24 0:00:00,,0.42,yes,yes,Bianually
Taylor Lee,160511125,Staff,Financial Aid Officer,Engineering,2021,Student Financial Records,04/16/2025 15:40:31,11/21/24 0:00:00,,0.33,no,yes,Anually
Taylor Brown,190617181,Undergraduate Student,Lab Assistant,Biology,2021,Building Access,04/20/2025 15:40:31,12/28/24 0:00:00,,0.47,no,no,Bianually
Taylor Brown,190617181,Undergraduate Student,Lab Assistant,Biology,2021,Lab Equipment Reservation,03/22/2025 15:40:31,10/24/24 0:00:00,,0.64,yes,yes,Anually
Casey Johnson,112387302,Undergraduate Student,Peer Tutor,Mathematics,2018,Gradescope,04/20/2025 15:40:31,11/11/24 0:00:00,,0.95,yes,no,Bianually
Casey Johnson,112387302,Undergraduate Student,Peer Tutor,Mathematics,2018,Blackboard,04/18/2025 15:40:31,11/20/24 0:00:00,Peer Tutor,0.49,yes,no,Bianually
Taylor Martinez,198307762,Faculty,Assistant Professor,Human Resources,2019,Blackboard,04/12/2025 15:40:31,11/25/24 0:00:00,,0.65,no,yes,Bianually
Taylor Martinez,198307762,Faculty,Assistant Professor,Human Resources,2019,Gradescope,04/09/2025 15:40:31,11/05/24 0:00:00,,0.57,yes,no,Anually
Taylor Martinez,198307762,Faculty,Assistant Professor,Human Resources,2019,HR Research Repository,04/10/2025 15:40:31,09/01/24 0:00:00,,0.2,no,yes,Bianually
Jordan Lee,161612453,Undergraduate Student,Lab Assistant,Engineering,2018,Building Access,03/25/2025 15:40:31,07/06/24 0:00:00,,0.78,yes,yes,Bianually
Jordan Lee,161612453,Undergraduate Student,Lab Assistant,Engineering,2018,Lab Equipment Reservation,04/01/2025 15:40:31,07/02/24 0:00:00,Library Assistant,0.08,no,no,Bianually
Jamie Garcia,102420373,Faculty,Assistant Professor,Physics,2021,Blackboard,04/02/2025 15:40:31,09/25/24 0:00:00,,0.43,yes,yes,Bianually
Jamie Garcia,102420373,Faculty,Assistant Professor,Physics,2021,Gradescope,03/29/2025 15:40:31,10/10/24 0:00:00,,0.62,no,no,Bianually
Jamie Garcia,102420373,Faculty,Assistant Professor,Physics,2021,Physix Data Core,04/04/2025 15:40:31,11/20/24 0:00:00,Professor,0.73,yes,no,Anually
Morgan Lee,185296974,Faculty,Assistant Professor,IT,2022,Blackboard,04/11/2025 15:40:31,12/24/24 0:00:00,,0.75,no,no,Anually
Morgan Lee,185296974,Faculty,Assistant Professor,IT,2022,Gradescope,04/09/2025 15:40:31,01/11/25 0:00:00,,0.83,yes,no,Anually
Morgan Lee,185296974,Faculty,Assistant Professor,IT,2022,Tech Infrastructure DB,04/12/2025 15:40:31,12/22/24 0:00:00,Professor,0.1,no,no,Bianually
Morgan Garcia,199133048,Graduate Student,Research Assistant,Engineering,2018,EngiData Repository,03/27/2025 15:40:31,11/25/24 0:00:00,,0.6,yes,yes,Anually
Morgan Garcia,199133048,Graduate Student,Research Assistant,Engineering,2018,GSuite,04/14/2025 15:40:31,08/22/24 0:00:00,Teaching Assistant,0.72,yes,yes,Anually
Alex Lee,117417273,Staff,IT Support,Engineering,2021,System Admin Portal,03/29/2025 15:40:31,07/22/24 0:00:00,,0.22,yes,no,Bianually
Alex Lee,117417273,Staff,IT Support,Engineering,2021,Network Access,04/08/2025 15:40:31,11/11/24 0:00:00,,0.1,yes,yes,Anually
Jamie Garcia,161834354,Undergraduate Student,Lab Assistant,Library,2019,Building Access,04/06/2025 15:40:31,09/30/24 0:00:00,,0.77,no,yes,Bianually
Jamie Garcia,161834354,Undergraduate Student,Lab Assistant,Library,2019,Lab Equipment Reservation,03/29/2025 15:40:31,01/06/25 0:00:00,,0.56,yes,no,Bianually
Jamie Garcia,137250980,Faculty,Assistant Professor,Biology,2019,Blackboard,03/23/2025 15:40:31,11/15/24 0:00:00,Professor,0.44,no,no,Bianually
Jamie Garcia,137250980,Faculty,Assistant Professor,Biology,2019,Gradescope,04/07/2025 15:40:31,07/04/24 0:00:00,,0.39,no,no,Bianually
Jamie Garcia,137250980,Faculty,Assistant Professor,Biology,2019,BioData Central,04/14/2025 15:40:31,06/30/24 0:00:00,,0.32,no,no,Anually
Casey Martinez,181999629,Graduate Student,Research Assistant,Physics,2019,Physix Data Core,04/07/2025 15:40:31,10/02/24 0:00:00,,0.52,no,no,Bianually
Casey Martinez,181999629,Graduate Student,Research Assistant,Physics,2019,GSuite,04/12/2025 15:40:31,09/01/24 0:00:00,,0.56,no,no,Anually
Cameron Garcia,123949767,Staff,Financial Aid Officer,Computer Science,2021,Financial Aid System,04/04/2025 15:40:31,08/21/24 0:00:00,,0.43,yes,yes,Anually
Cameron Garcia,123949767,Staff,Financial Aid Officer,Computer Science,2021,Student Financial Records,03/25/2025 15:40:31,12/20/24 0:00:00,,0.25,no,yes,Anually
Casey Brown,115331241,Graduate Student,Teaching Assistant,Human Resources,2024,Gradescope,04/08/2025 15:40:31,01/08/25 0:00:00,Research Assistant,0.37,no,no,Bianually
Casey Brown,115331241,Graduate Student,Teaching Assistant,Human Resources,2024,Course Management System,03/22/2025 15:40:31,06/29/24 0:00:00,,0.84,yes,no,Bianually
Cameron Brown,169288925,Faculty,Associate Professor,Biology,2024,Blackboard,04/20/2025 15:40:31,12/06/24 0:00:00,,0.65,yes,yes,Anually
Cameron Brown,169288925,Faculty,Associate Professor,Biology,2024,Gradescope,04/09/2025 15:40:31,09/28/24 0:00:00,,0.53,no,yes,Bianually
Cameron Brown,169288925,Faculty,Associate Professor,Biology,2024,BioData Central,04/13/2025 15:40:31,10/12/24 0:00:00,Professor,0.22,no,no,Bianually
Jordan Brown,108942475,Undergraduate Student,Library Assistant,Physics,2018,Library System Access,04/18/2025 15:40:31,11/09/24 0:00:00,,0.81,yes,yes,Anually
Jordan Brown,108942475,Undergraduate Student,Library Assistant,Physics,2018,GSuite,04/06/2025 15:40:31,12/16/24 0:00:00,Peer Tutor,0.79,no,no,Anually
Cameron Johnson,151542612,Undergraduate Student,Peer Tutor,IT,2024,Gradescope,04/03/2025 15:40:31,08/17/24 0:00:00,Library Assistant,0.7,yes,yes,Bianually
Cameron Johnson,151542612,Undergraduate Student,Peer Tutor,IT,2024,Blackboard,03/27/2025 15:40:31,08/30/24 0:00:00,,0.43,no,no,Bianually
Casey Garcia,196830037,Graduate Student,Research Assistant,Physics,2020,Physix Data Core,04/10/2025 15:40:31,12/22/24 0:00:00,,0.83,no,yes,Bianually
Casey Garcia,196830037,Graduate Student,Research Assistant,Physics,2020,GSuite,03/26/2025 15:40:31,12/26/24 0:00:00,,0.84,no,yes,Anually
Cameron Johnson,121255961,Graduate Student,Research Assistant,Chemistry,2020,ChemResearch Archive,04/18/2025 15:40:31,06/30/24 0:00:00,,0.08,yes,no,Anually
Cameron Johnson,121255961,Graduate Student,Research Assistant,Chemistry,2020,GSuite,04/05/2025 15:40:31,10/01/24 0:00:00,Teaching Assistant,0.91,no,yes,Bianually
Jordan Martinez,192520485,Undergraduate Student,Peer Tutor,Mathematics,2021,Gradescope,04/09/2025 15:40:31,08/09/24 0:00:00,,0.23,no,yes,Anually
Jordan Martinez,192520485,Undergraduate Student,Peer Tutor,Mathematics,2021,Blackboard,03/31/2025 15:40:31,01/08/25 0:00:00,,0.65,no,no,Anually
Casey Smith,141543035,Undergraduate Student,Peer Tutor,Library,2023,Gradescope,03/30/2025 15:40:31,01/09/25 0:00:00,,0.23,yes,no,Anually
Casey Smith,141543035,Undergraduate Student,Peer Tutor,Library,2023,Blackboard,03/30/2025 15:40:31,10/15/24 0:00:00,Peer Tutor,0.19,yes,yes,Bianually
Alex Brown,128829919,Undergraduate Student,Library Assistant,Mathematics,2018,Library System Access,04/07/2025 15:40:31,10/22/24 0:00:00,,0.16,no,no,Anually
Alex Brown,128829919,Undergraduate Student,Library Assistant,Mathematics,2018,GSuite,03/30/2025 15:40:31,07/03/24 0:00:00,Library Assistant,0.26,yes,yes,Anually
Taylor Lee,176604776,Graduate Student,Teaching Assistant,IT,2021,Gradescope,04/07/2025 15:40:31,11/15/24 0:00:00,Research Assistant,0.35,yes,no,Bianually
Taylor Lee,176604776,Graduate Student,Teaching Assistant,IT,2021,Course Management System,03/25/2025 15:40:31,07/04/24 0:00:00,,0.83,yes,yes,Bianually
Casey Johnson,187858441,Graduate Student,Teaching Assistant,Computer Science,2018,Gradescope,04/17/2025 15:40:31,12/15/24 0:00:00,,0.63,no,yes,Bianually
Casey Johnson,187858441,Graduate Student,Teaching Assistant,Computer Science,2018,Course Management System,03/27/2025 15:40:31,12/09/24 0:00:00,,0.55,yes,no,Anually
Jamie Johnson,180637580,Faculty,Associate Professor,Engineering,2022,Blackboard,03/29/2025 15:40:31,12/22/24 0:00:00,Associate Professor,0.19,yes,no,Anually
Jamie Johnson,180637580,Faculty,Associate Professor,Engineering,2022,Gradescope,04/06/2025 15:40:31,06/29/24 0:00:00,,0.37,no,yes,Bianually
Jamie Johnson,180637580,Faculty,Associate Professor,Engineering,2022,EngiData Repository,04/13/2025 15:40:31,06/29/24 0:00:00,,0.79,yes,no,Anually
Morgan Martinez,166259465,Faculty,Professor,Computer Science,2023,Blackboard,04/03/2025 15:40:31,09/04/24 0:00:00,Professor,0.13,no,yes,Anually
Morgan Martinez,166259465,Faculty,Professor,Computer Science,2023,Gradescope,03/30/2025 15:40:31,11/28/24 0:00:00,,0.24,yes,no,Anually
Morgan Martinez,166259465,Faculty,Professor,Computer Science,2023,CompSci Research Hub,04/02/2025 15:40:31,11/28/24 0:00:00,,0.31,no,yes,Bianually
Morgan Lee,155238112,Graduate Student,Teaching Assistant,IT,2023,Gradescope,04/13/2025 15:40:31,12/09/24 0:00:00,,0.45,yes,yes,Anually
Morgan Lee,155238112,Graduate Student,Teaching Assistant,IT,2023,Course Management System,03/23/2025 15:40:31,10/29/24 0:00:00,Teaching Assistant,0.98,yes,yes,Bianually
Casey Smith,169749661,Undergraduate Student,Peer Tutor,Biology,2023,Gradescope,03/29/2025 15:40:31,01/05/25 0:00:00,,0.62,no,no,Anually
Casey Smith,169749661,Undergraduate Student,Peer Tutor,Biology,2023,Blackboard,04/10/2025 15:40:31,08/24/24 0:00:00,Lab Assistant,0.7,yes,yes,Anually
Morgan Brown,141556705,Staff,IT Support,Chemistry,2024,System Admin Portal,03/25/2025 15:40:31,07/26/24 0:00:00,,0.78,no,yes,Bianually
Morgan Brown,141556705,Staff,IT Support,Chemistry,2024,Network Access,04/03/2025 15:40:31,10/20/24 0:00:00,Building Manager,0.1,no,no,Anually
Taylor Johnson,131202746,Faculty,Associate Professor,IT,2021,Blackboard,03/28/2025 15:40:31,08/30/24 0:00:00,,0.74,yes,yes,Bianually
Taylor Johnson,131202746,Faculty,Associate Professor,IT,2021,Gradescope,03/30/2025 15:40:31,08/04/24 0:00:00,,0.36,no,no,Bianually
Taylor Johnson,131202746,Faculty,Associate Professor,IT,2021,Tech Infrastructure DB,03/24/2025 15:40:31,08/04/24 0:00:00,,0.44,yes,yes,Bianually
Alex Garcia,176412138,Faculty,Assistant Professor,Physics,2019,Blackboard,04/20/2025 15:40:31,07/21/24 0:00:00,Associate Professor,0.47,no,no,Bianually
Alex Garcia,176412138,Faculty,Assistant Professor,Physics,2019,Gradescope,04/18/2025 15:40:31,10/29/24 0:00:00,,0.42,no,yes,Bianually
Alex Garcia,176412138,Faculty,Assistant Professor,Physics,2019,Physix Data Core,04/08/2025 15:40:31,08/06/24 0:00:00,,0.58,no,no,Bianually
Alex Garcia,185212365,Staff,HR Coordinator,Physics,2024,HR Portal,04/11/2025 15:40:31,12/28/24 0:00:00,,0.21,no,yes,Bianually
Alex Garcia,185212365,Staff,HR Coordinator,Physics,2024,Employee Records Access,04/03/2025 15:40:31,09/12/24 0:00:00,Financial Aid Officer,0.47,no,no,Bianually
Taylor Smith,163707966,Undergraduate Student,Peer Tutor,Library,2022,Gradescope,04/13/2025 15:40:31,10/05/24 0:00:00,Lab Assistant,0.53,no,no,Bianually
Taylor Smith,163707966,Undergraduate Student,Peer Tutor,Library,2022,Blackboard,04/11/2025 15:40:31,07/14/24 0:00:00,,0.33,yes,yes,Anually
Alex Johnson,178275852,Undergraduate Student,Peer Tutor,Finance,2020,Gradescope,04/01/2025 15:40:31,11/10/24 0:00:00,,0.5,yes,yes,Anually
Alex Johnson,178275852,Undergraduate Student,Peer Tutor,Finance,2020,Blackboard,04/14/2025 15:40:31,11/21/24 0:00:00,,0.69,yes,yes,Bianually
Jamie Garcia,154123636,Undergraduate Student,Lab Assistant,Computer Science,2019,Building Access,04/11/2025 15:40:31,07/24/24 0:00:00,,0.74,no,yes,Anually
Jamie Garcia,154123636,Undergraduate Student,Lab Assistant,Computer Science,2019,Lab Equipment Reservation,04/07/2025 15:40:31,11/04/24 0:00:00,Lab Assistant,0.21,no,no,Anually
Morgan Lee,123598779,Staff,HR Coordinator,Mathematics,2023,HR Portal,04/02/2025 15:40:31,06/27/24 0:00:00,,0.31,yes,no,Anually
Morgan Lee,123598779,Staff,HR Coordinator,Mathematics,2023,Employee Records Access,03/22/2025 15:40:31,08/30/24 0:00:00,Building Manager,0.27,yes,no,Bianually
Jordan Martinez,176705297,Faculty,Assistant Professor,Computer Science,2022,Blackboard,04/02/2025 15:40:31,06/27/24 0:00:00,,0.41,yes,yes,Anually
Jordan Martinez,176705297,Faculty,Assistant Professor,Computer Science,2022,Gradescope,04/06/2025 15:40:31,11/13/24 0:00:00,,0.62,yes,yes,Bianually
Jordan Martinez,176705297,Faculty,Assistant Professor,Computer Science,2022,CompSci Research Hub,04/19/2025 15:40:31,07/09/24 0:00:00,,0.68,no,no,Bianually
Jordan Johnson,112311646,Staff,Building Manager,IT,2022,Building Access,03/23/2025 15:40:31,11/07/24 0:00:00,,0.85,yes,yes,Bianually
Jordan Johnson,112311646,Staff,Building Manager,IT,2022,Maintenance System,04/17/2025 15:40:31,09/01/24 0:00:00,,0.61,no,no,Bianually
Taylor Johnson,164447017,Graduate Student,Teaching Assistant,Biology,2023,Gradescope,04/08/2025 15:40:31,11/05/24 0:00:00,,0.36,no,yes,Bianually
Taylor Johnson,164447017,Graduate Student,Teaching Assistant,Biology,2023,Course Management System,04/16/2025 15:40:31,07/19/24 0:00:00,,0.7,yes,yes,Bianually
Jamie Lee,146818049,Faculty,Professor,Library,2022,Blackboard,04/19/2025 15:40:31,08/14/24 0:00:00,,0.26,yes,yes,Bianually
Jamie Lee,146818049,Faculty,Professor,Library,2022,Gradescope,04/14/2025 15:40:31,08/07/24 0:00:00,,0.74,yes,yes,Anually
Jamie Lee,146818049,Faculty,Professor,Library,2022,Library Research Vault,03/22/2025 15:40:31,08/22/24 0:00:00,Associate Professor,0.44,yes,no,Anually
Morgan Martinez,130881961,Faculty,Assistant Professor,Physics,2021,Blackboard,03/30/2025 15:40:31,12/23/24 0:00:00,,0.12,yes,yes,Anually
Morgan Martinez,130881961,Faculty,Assistant Professor,Physics,2021,Gradescope,03/26/2025 15:40:31,10/16/24 0:00:00,Assistant Professor,0.08,no,yes,Bianually
Morgan Martinez,130881961,Faculty,Assistant Professor,Physics,2021,Physix Data Core,04/03/2025 15:40:31,09/08/24 0:00:00,Associate Professor,0.31,yes,yes,Anually
Casey Martinez,178166222,Faculty,Assistant Professor,Chemistry,2022,Blackboard,03/30/2025 15:40:31,10/14/24 0:00:00,,0.56,yes,no,Anually
Casey Martinez,178166222,Faculty,Assistant Professor,Chemistry,2022,Gradescope,04/04/2025 15:40:31,12/16/24 0:00:00,,0.43,yes,no,Anually
Casey Martinez,178166222,Faculty,Assistant Professor,Chemistry,2022,ChemResearch Archive,03/25/2025 15:40:31,01/10/25 0:00:00,,0.76,no,yes,Bianually
Jamie Johnson,197786491,Undergraduate Student,Library Assistant,Chemistry,2019,Library System Access,04/15/2025 15:40:31,11/25/24 0:00:00,,0.17,no,no,Anually
Jamie Johnson,197786491,Undergraduate Student,Library Assistant,Chemistry,2019,GSuite,04/02/2025 15:40:31,07/30/24 0:00:00,,0.56,no,no,Bianually
Jamie Brown,134788200,Staff,IT Support,Human Resources,2020,System Admin Portal,03/30/2025 15:40:31,08/13/24 0:00:00,Building Manager,0.17,no,yes,Anually
Jamie Brown,134788200,Staff,IT Support,Human Resources,2020,Network Access,03/24/2025 15:40:31,07/26/24 0:00:00,,0.1,yes,yes,Anually
Casey Brown,186821735,Faculty,Assistant Professor,Engineering,2024,Blackboard,04/01/2025 15:40:31,07/11/24 0:00:00,,0.23,no,no,Bianually
Casey Brown,186821735,Faculty,Assistant Professor,Engineering,2024,Gradescope,03/24/2025 15:40:31,01/05/25 0:00:00,,0.54,yes,yes,Bianually
Casey Brown,186821735,Faculty,Assistant Professor,Engineering,2024,EngiData Repository,04/03/2025 15:40:31,01/03/25 0:00:00,,0.61,no,yes,Anually
Morgan Garcia,134550974,Faculty,Associate Professor,IT,2019,Blackboard,03/22/2025 15:40:31,11/24/24 0:00:00,,0.47,no,no,Anually
Morgan Garcia,134550974,Faculty,Associate Professor,IT,2019,Gradescope,03/26/2025 15:40:31,10/07/24 0:00:00,Assistant Professor,0.24,yes,no,Anually
Morgan Garcia,134550974,Faculty,Associate Professor,IT,2019,Tech Infrastructure DB,04/14/2025 15:40:31,12/20/24 0:00:00,,0.32,yes,no,Bianually
Cameron Johnson,113256777,Graduate Student,Teaching Assistant,Engineering,2019,Gradescope,04/16/2025 15:40:31,08/14/24 0:00:00,,0.07,yes,no,Bianually
Cameron Johnson,113256777,Graduate Student,Teaching Assistant,Engineering,2019,Course Management System,04/11/2025 15:40:31,12/29/24 0:00:00,,0.11,yes,no,Bianually
Taylor Smith,174433164,Undergraduate Student,Peer Tutor,Mathematics,2023,Gradescope,03/25/2025 15:40:31,08/07/24 0:00:00,Peer Tutor,0.61,no,no,Bianually
Taylor Smith,174433164,Undergraduate Student,Peer Tutor,Mathematics,2023,Blackboard,03/31/2025 15:40:31,09/20/24 0:00:00,Lab Assistant,0.54,no,no,Anually
Jamie Garcia,162263920,Staff,HR Coordinator,Biology,2022,HR Portal,04/06/2025 15:40:31,01/11/25 0:00:00,,0.81,yes,yes,Anually
Jamie Garcia,162263920,Staff,HR Coordinator,Biology,2022,Employee Records Access,04/03/2025 15:40:31,11/23/24 0:00:00,Building Manager,0.68,yes,yes,Anually
Casey Johnson,148785224,Staff,Financial Aid Officer,Human Resources,2019,Financial Aid System,04/10/2025 15:40:31,08/17/24 0:00:00,,0.23,yes,yes,Bianually
Casey Johnson,148785224,Staff,Financial Aid Officer,Human Resources,2019,Student Financial Records,04/09/2025 15:40:31,01/02/25 0:00:00,,0.19,no,no,Bianually
Cameron Smith,126153940,Staff,IT Support,Computer Science,2021,System Admin Portal,03/31/2025 15:40:31,08/17/24 0:00:00,,0.17,no,yes,Bianually
Cameron Smith,126153940,Staff,IT Support,Computer Science,2021,Network Access,04/07/2025 15:40:31,09/17/24 0:00:00,HR Coordinator,0.38,no,no,Anually
Cameron Garcia,150229372,Undergraduate Student,Lab Assistant,Human Resources,2021,Building Access,04/03/2025 15:40:31,10/15/24 0:00:00,,0.62,no,yes,Anually
Cameron Garcia,150229372,Undergraduate Student,Lab Assistant,Human Resources,2021,Lab Equipment Reservation,03/31/2025 15:40:31,07/08/24 0:00:00,,0.85,no,no,Bianually
Casey Lee,112599955,Undergraduate Student,Peer Tutor,Human Resources,2022,Gradescope,04/11/2025 15:40:31,10/13/24 0:00:00,,0.86,yes,yes,Bianually
Casey Lee,112599955,Undergraduate Student,Peer Tutor,Human Resources,2022,Blackboard,04/09/2025 15:40:31,08/24/24 0:00:00,Peer Tutor,0.41,no,yes,Anually
Taylor Smith,145135040,Faculty,Associate Professor,Computer Science,2021,Blackboard,04/12/2025 15:40:31,11/26/24 0:00:00,,0.77,no,no,Bianually
Taylor Smith,145135040,Faculty,Associate Professor,Computer Science,2021,Gradescope,03/25/2025 15:40:31,10/18/24 0:00:00,,0.34,no,no,Anually
Taylor Smith,145135040,Faculty,Associate Professor,Computer Science,2021,CompSci Research Hub,04/09/2025 15:40:31,11/08/24 0:00:00,Professor,0.27,no,no,Bianually
Taylor Martinez,151407581,Faculty,Assistant Professor,Physics,2024,Blackboard,04/11/2025 15:40:31,07/08/24 0:00:00,,0.6,no,no,Bianually
Taylor Martinez,151407581,Faculty,Assistant Professor,Physics,2024,Gradescope,04/11/2025 15:40:31,08/06/24 0:00:00,,0.72,no,no,Anually
